case_id,tier,rules,period_end_leg,other_high_combos,fact
2018-2019-18,HIGH,L2-02+L3-02+L3-11+L4-01+L4-03,L4-03,"fictitious,embezzlement","S사는 X4년 연결 및 별도재무제표에서 제조되지 않거나 출고되지 않은 상품을 매출로 계상하는 등의 방법으로 매출 및 매출원가를 허위계상하고, 거래처에 자금을 대여한 후 이를 통해 매출 대금이 회수된 것으로 가장하여 대손상각비 계상을 회피함"
2012-라,HIGH,L3-02+L3-04+L3-11+L4-01+L4-03,L4-03,fictitious,"거래의 실질상 회사가 거래 당사자로 포함될 이유가 없었음에도 불구하고, 회사와 타사의 100% 자회사가 동 거래의 당사자인 것처럼 거래계약서 및 세금계산서를 작성하여 우회매출을 발생시킴으로써 매출 및 매출원가를 과대계상함. '09.12월에 매출이 대규모(848백만원, '09년 전체 매출의 24.9%)로 발생했고 이 중 735백만원은 신규 의료기기(ALSA)"
2012-자-나,HIGH,L1-05+L3-02+L3-04+L4-03,L4-03,"fictitious,approval",대표이사가 결산일에 문방구 약속어음을 회사에 제출하여 '미수금' 및 '자산수증이익'으로 계상한 후 익년 2월말에 회사 계좌에 입금하여 미수금이 회수된 것처럼 처리하여 자산수증이익을 허위계상
2011-가-다,HIGH,L2-03+L3-02+L3-11+L4-01+L4-03,L4-03,"fictitious,embezzlement","관리종목 지정을 회피할 목적으로 실제 거래가 없음에도 허위의 세금계산서를 발급하여 매출로 인식하였고, 출고되지 않은 상품까지 매출로 인식하였으며, 자회사 등 타사의 매출을 회사의 매출로 계상하는 등 매출 및 매출원가를 과대 계상. 매출의 대부분(85.0%)이 당기 중 신규사업에서 발생한 매출"
2011-나-사,HIGH,L1-05+L2-02+L3-04+L4-03,L4-03,"embezzlement,approval",전 대표이사가 대차대조표일 이후에 거액의 횡령금을 회사에 반환한 즉시 동 자금으로 완전자본잠식상태인 GG사 주식을 동사의 주주간 최근 매매가액에 비해 22.5배에 달하는 고가에 취득하였다는 점 등에서 회사 주장의 신뢰성을 충분히 의심할 수 있는 상황
2011-라-마,HIGH,L1-05+L2-02+L3-04+L4-03,L4-03,"embezzlement,approval",기중 유상증자 직후 선급금 지급 등의 명목으로 유출한 자금을 기말에 회수한 것처럼 회계처리하기 위해 업무집행지시자가 사채업자로부터 차입한 자금을 현금및현금성자산으로 허위계상(동 자금은 감사보고서 제출 익일에 인출되어 동 차입금 상환에 사용)
2009-라,HIGH,L3-02+L3-04+L4-03,L4-03,(NONE=sole),"S사는 X0년부터 X4년까지 원자재가 상승 및 제품가 하락 등으로 인하여 수익성이 악화되어 적자가 불가피해지자, 실제로 존재하지 아니하는 원재료 등(148억원)을 가공으로 계상"
2009-마,HIGH,L3-02+L3-04+L4-03,L4-03,(NONE=sole),K사는 X4년도말 현재 회사에 존재하지 않는 제품을 타처보관증을 위조하여 대차대조표에 계상하였음. 타처보관 재고자산이 총 재고자산의 50.2%로 금액적으로 중요하고 기간 중 입출고 내역이 전혀 없는 등 특이사항이 발견되었음에도 타처에 재고 보관여부를 직접 조회확인하지 않고 회사가 제시한 타처보관증(위조)만을 확인
A-2유형-아,HIGH,L3-04+L3-10+L4-03,L3-10+L4-03,(NONE=sole),"제15기에 회사는 비상장인 OO사 주식인수대금 중 기지급한 금액을 투자선급금으로 계상하였으나, 과대평가 결과를 기초로 OO사 주식의 장부가액을 계상하여 투자선급금을 과대계상. 지분법적용대상인 OO사 총자산의 93.1%는 △△사 주식으로 구성된 바, △△사는 사실상 무상매각이 예정되어 회수가능가액이 0원이었으나 주식가치 산정결과를 그대로 인용하여 지분법적용투"
2014-나(금융자문),HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,회사가 SPC를 이용하여 실제 PF사업을 영위하면서 발생하지도 않은 PF사업이익을 금융자문수수료로 위장하고 선인식하여 이익잉여금을 과대계상 하였음
2014-가(대출충당),HIGH,L2-05+L3-04+L4-03,L4-03,(NONE=sole),"이자가 연체상태이거나 대출채권 상환이 지연되고 있어 고정 이하로 분류하여야 함에도, 증액대출 등을 통하여 연체이자 등을 정리한 후 이를 정상 또는 요주의로 부당하게 분류하여 대손충당금을 과소계상"
2016-라(공사수익조작),HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"진행기준에 따라 매출액을 인식하는 회사는 총공사예정원가를 임의로 축소·조작하고, 공사현장간 발생원가 부당대체 분개를 ERP 시스템에 입력하는 방법으로 프로젝트별 진행률을 조작하여 매출 및 매출채권을 과대계상함"
2016-사(재고과대),HIGH,L3-02+L3-04+L4-03+L4-04,L4-03+L4-04,fictitious,"허위 결산조정전표를 입력하고 재고자산 수불부, 제조원가명세서 등을 조작하는 방식으로 실제 존재하고 있지 않는 가공의 재공품, 반제품, 파지 등을 재무제표에 계상하여 기말 재고자산 및 당기순이익을 과대계상하였음"
2016-가(저축은행충당),HIGH,L1-05+L3-04+L4-03,L4-03,approval,"회사의 대표이사는 결산시 정상적으로 자산건전성분류를 하여 대손충당금을 계상할 경우 BIS비율이 기준비율 미만으로 하락하여 적기시정조치 대상이 된다는 것을 인지하고 이를 회피하기 위해 고의로 정상, 요주의 등으로 상향조정하여 대손충당금을 과소계상"
2013-가(공사수익),HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"손실이 발생하는 공사의 공사원가를 공사가 시작되지 않거나 진행 초기단계의 공사에 임의로 배분하고, 공사에 투입되지 않은 재고자산을 공사에 투입된 것처럼 회계처리하여 공사진행률을 과다하게 산정하였으며, 해외에서 진행되고 있던 공사의 기성고를 잘못 추정하고 총공사예정원가를 과소추정하여 매출(공사수익) 및 매출채권을 과대계상함"
2013-다(매출허위),HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"투자유치 목적으로 영업실적을 부풀리기 위해 허위의 세금계산서를 발행하는 방법 등으로 매출을 과대계상하고, 연구매출에 필수적인 관계기관의 인·허가 또는 거래처의 동의가 이루어지지 않아 계약이행이 사실상 불가능하여 수익인식요건을 충족하지 못함에도 매출로 인식함"
2017-라(매도가능조작),HIGH,L3-02+L3-04+L4-03,L4-03,(NONE=sole),손상차손 인식을 회피하기 위해 재무제표 주석으로 공시한 회계정책을 임의로 변경하고 회계정책 관련 내부 품의서류를 조작하는 등의 부정한 방법으로 손상차손을 인식하지 않아 당기순손실을 과소계상함
2018-다(매도가능증권허위),HIGH,L2-03+L3-02+L3-04+L4-03,L4-03,"fictitious,embezzlement",동 매도가능증권에 대한 손상 인식을 막기 위해 회사 자금을 허위로 지급하고 자금이 정상 회수된 것으로 가장함
A-1유형-나,HIGH,L3-04+L3-11+L4-01+L4-03,L4-03,(NONE=sole),"S사는 제X3기 재무제표의 가결산 결과 영업손실이 예상되자 이 사실을 은폐할 목적으로 차기에 발생한 매출을 당기에 인식하여 매출채권을 과대 계상하였고, 제X4기에도 발생사실이 없는 매출을 허위로 계상하여 매출채권을 과대 계상하였음"
A-1유형-라,HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"D사는 특정 건설현장의 예정원가를 임의로 낮추거나 전체 발생원가를 개별 공사현장에 임의로 많이 배분하는 방법으로 공사진척도를 높여 공사수익을 앞당겨 회계처리하고, 도급금액이 감액되었거나 해약된 현장임에도 정상적인 공사가 진행된 것처럼 허위의 공사수익을 계상하였음"
A-1유형-바,HIGH,L3-02+L3-11+L4-01+L4-03+L4-04,L4-03+L4-04,fictitious,D사는 부실 현장 공사원가를 신규·저진행 현장 공사원가로 임의 대체하거나 공사원가를 건설중인 자산의 원가로 대체하거나 공사진행률을 허위로 높여 수익을 조기에 과다하게 인식하는 방법으로 공사수익을 과대계상하고 공사미수금을 과대계상 또는 공사선수금을 과소계상함
A-1유형-사,HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"T사는 해외거래처에 대해 허위로 수출을 계상하여 가공의 매출채권이 발생하였고, 선하증권(B/L)을 운송알선업자로부터 미리 발급받는 방법으로 차기 수출을 당기 수출로 처리하여 매출액을 과대계상하고 단기차입금을 누락하였음"
B-2유형-라,HIGH,L3-02+L3-11+L4-03+L4-04,L4-03+L4-04,fictitious,"D사는 특수관계자인 A건설과 허위의 세금계산서를 수수하여 X1년 결산시 상품매출과 상품매출원가를 각각 43,022백만원 과대계상함"
B-2유형-마,HIGH,L3-02+L3-04+L4-01+L4-03,L4-03,(NONE=sole),"H사는 진행률 계산에서 프리랜서 제작비용 등을 작품별 귀속내역을 엑셀자료에서 조작하고, 제작되지 아니한 단편만화영화를 제작·수출한 것으로 회계처리하여 X1년 및 X2년 매출을 각각 과대계상하였음"
B-2유형-자,HIGH,L3-02+L3-04+L4-01+L4-04,L4-04,fictitious,T사는 코스닥상장규정에 따라 상장폐지가 예상되자 최대주주 등과 조직적으로 공모하여 가공의 세금계산서 등을 발행 및 수취하는 방법으로 매출 및 매출원가를 과대계상함
FSS2008-08-1,HIGH,L1-05+L3-02+L3-04+L4-03,L4-03,"fictitious,approval","A사의 회계팀은 경영진이 원하는 수준의 매출·영업이익으로 맞추도록 지시받아 수주액, 공사예정원가, 발생원가의 프로젝트 번호 등을 조작하여 진행률을 과대 산정하고 매출 및 매출채권을 과대계상하였다"
FSS2008-33-1,HIGH,L3-02+L3-04+L4-01+L4-03,L4-03,(NONE=sole),D사는 X1년부터 X8년까지 회사 전체의 목표 영업이익을 달성하기 위하여 총공사예정원가 등에 영향을 미치는 변수 등을 수정하는 방식으로 공사 진행률을 조작하였다
FSS2008-06-1,HIGH,L3-02+L3-04+L4-01+L4-03,L4-03,(NONE=sole),"D사는 허위 예산자료를 만들고 총공사예정원가를 축소·조작하여 진행률을 과대산정하였으며, 진행률이 100%에 도달한 선박에서 추가 발생원가를 타 선박으로 대체하여 매출을 과대계상하였다"
FSS2112-13-1,HIGH,L2-05+L3-04+L4-03,L4-03,(NONE=sole),A사는 상장폐지를 모면하기 위하여 사실상 계약해제되어 회수가 불가능한 선급금 100억원에 대해 손상차손을 인식하지 아니하여 선급금을 과대계상하였다
FSS2008-07-1,HIGH,L3-01+L3-02+L3-04+L4-01+L4-03,L4-03,(NONE=sole),"S사는 X1년 결산 결과 영업손실이 발생하자 허위 예산자료를 만들어 총공사예정원가를 축소·조작하고 타 선박으로 발생원가를 임의대체하여 진행률을 과대산정하였으며, 선박 제조원가를 재고자산으로 부당대체하였다"
FSS1912-1-1,HIGH,L3-02+L3-03+L3-11+L4-01+L4-04,L4-04,fictitious,"A사는 '14년 재무제표에서 관리종목 지정 기준(5,000백만원) 회피를 위해 제조·가공 및 이동사실이 없는 중고제품을 인도한 것처럼 허위의 재고자산수불부 및 지출결의서를 작성하여 관계회사 B사에 대한 매출 및 매출원가를 과대계상하였다"
FSS2112-07-1,HIGH(NEW조합),L3-04+L4-03,L4-03,(NONE=sole),"회사는 사모펀드 C사의 다른 참가자들에게 제공한 풋옵션을 파생상품으로 인식하고 평가하여야 함에도, 관련 회계처리를 누락하여 파생상품부채(2,324억원) 및 파생상품평가손실을 계상하지 아니하였으며 풋옵션 내용을 재무제표 주석에 기재하지 아니하였다."
연결감리-가,HIGH,L3-04+L4-03,L4-03,(NONE=sole),"지배회사인 K사는 금융계열사가 자산담보부대출(ABL)의 형태로 자산유동화전문회사 등 제3자를 통하여 비금융계열사에 우회적인 자금지원을 하였음에도 동 내부거래를 상계제거하지 않아, 자산과 부채를 각각 300,000백만원씩 과대계상하고 관련 이자수익과 이자비용을 각각 25,000백만원씩 과대계상하였다."
FSS1912-22-1,HIGH(NEW조합),L3-03+L3-11+L4-03,L4-03,(NONE=sole),A사는 100% 지분을 소유하고 있는 해외 종속회사와의 위탁판매계약을 해지하고 해외종속회사에서 과거부터 보관중이던 장기 미판매 위탁제품을 종속회사가 인수하도록 하여 기말일자로 일시에 15억원의 매출과 1억원의 매출원가로 인식하여 14억원의 당기이익을 계상하였다.
파생금융부채-1,HIGH,L1-05+L1-07+L3-04+L4-03,L4-03,approval,"회사의 대표이사는 이사회의결을 거치지 않고 회사의 법인인감을 무단으로 사용하여 조건부 풋옵션 계약을 체결하고, 외부감사인에게도 동 계약을 밝히지 않았다. 회사가 C사에 부여한 조건부 풋옵션은 파생금융부채에 해당함에도 이를 재무제표에 계상하지 아니하였다."
FSS2008-18-1,HIGH,L1-05+L1-07+L3-04+L4-03,L4-03,approval,"회사는 산업용 로봇 등을 생산·공급하며, 로봇응용시스템을 개발하는 업체이다. 회사의 대표이사는 이사회의결을 거치지 않고, 회사의 법인인감을 사용하여 전환사채 투자자들과 계약을 체결한 후 사용 내역을 숨기고 해당 계약사실을 외부감사인에게 은폐하였다. 회사는 X7.9월 B사 인수를 추진하면서 조건부 풋옵션 계약을 체결하였음에도 이를 파생금융부채로 계상하지 아니"
A-9유형-가,HIGH,L2-03+L3-04+L3-10+L4-04,L3-10+L4-04,(NONE=sole),"""N사는 거래중단·폐업 거래처(A사 등 2사)에 대한 매출채권이 당기에 신규발생하거나 회수된 사실이 없음에도, 매출채권이 증가·감소된 것처럼 허위로 회계처리하고, 매출채권 연령을 조작하여 동 채권을 정상채권으로 분류하고 매출채권에 대한 대손충당금을 과소계상함"""
A-8유형-나,HIGH,L2-03+L3-04+L4-03,L4-03,(NONE=sole),"""T사는 전산장부를 조작하는 방법으로 임직원의 입사연도를 조정하여 근속기간을 실제보다 축소함으로써, 퇴직급여 및 퇴직급여충당금을 각각 X4년 1,320백만원, X5년 1,328백만원 및 X6년 1,299백만원 과소계상하여 당기순이익을 동액만큼 과대계상한 사실이 있음"""
FSS2206-04,HIGH,L1-05+L3-02+L3-04+L4-03,L4-03,"fictitious,approval","""재무담당임원의 지시에 따라 의도적으로 선수금을 조기에 매출로 인식하였고, '17.12.31.에는 전산상으로 건당 수백만원에서 수천만원의 허위 수강료 수입 및 교재 수입 매출전표를 생성하여 매출로 계상하는 회계처리 하였다."""
FSS2405-03-01,HIGH(NEW조합),L3-04+L3-09+L4-01+L4-03,L4-03,(NONE=sole),"회사는 거래 상대방과의 변경계약 체결 없이 계약서상 도급금액과 다른 금액 등을 기초로 공사수익을 인식한 결과 x1~x8년까지 공사수익을 과대계상하였다. 또한, x9년 중간감사 과정에서 감사인으로부터 장기간 누적되어 온 공사미수금의 실재성을 입증받도록 요구받자, 전기 재무제표(x1~x8년)를 소급·재작성하지 아니하고 일시 상각하여 x9년 대손상각비를 과대계상"
FSS2409-01,HIGH,L2-03+L3-02+L3-03+L3-11+L4-01+L4-03,L4-03,"fictitious,embezzlement","""회사는 홍콩에 소재한 기존 주력 거래처(B사)와 공모하여 B사로부터 소개받은 업체(C사)에 P제품을 수출하고, B사로부터 다른 용도의 새로운 원재료(P-1, P-2)를 매입한 것처럼 외관을 형성하고, 수출입대금이 원활하게 융통되는 것으로 위장하기 위해 B사에 원재료 수입대금을 先지급하고 동 자금을 넘겨받은 C사로부터 명목상 P제품의 수출대금을 즉시 회수하"
FSS2409-03,HIGH(NEW조합),L3-03+L3-04+L4-03,L4-03,(NONE=sole),"""회사는 영업이익 확보를 위한 자금순환 거래를 위해 손상 사유가 지속되고 있는 해외 자회사에 대한 유상증자를 실시한 후 종속기업투자주식에 대한 손상차손은 인식하지 않은 반면, 대손충당금 환입을 통한 영업수익 인식으로 손익을 조정하였다."""
FSS2409-07-가,HIGH,L1-05+L2-03+L3-02+L3-04+L4-03,L4-03,"fictitious,embezzlement,approval","""회사는 재무제표상 목표 당기순이익 달성을 위해 기말 재고자산명세를 증액 조작하고, 재고자산의 손상을 인식하지 않는 등의 방법으로 재고자산을 허위로 과대계상하였다."""
FSS2409-08,HIGH,L1-07+L2-04+L3-01+L3-02+L3-04+L4-03,L4-03,"approval,expense","""회사는 x1년 이후 재고자산의 출고처리를 누락하는 방법으로 매출원가는 과소, 재고자산은 과대 계상하여 왔으며 매월 별도로 '원가조정' 명목으로 차이금액을 순차적으로 해소하였다. … 이를 내용연수 동안 비용(감가상각) 처리가 가능한 유형자산으로 부당하게 대체하고, 미해소금액은 가공의 재고자산으로 보유하였다."""
FSS2505-01,HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"""회사는 1)허위 세금계산서를 발행하거나, 2)수출신고서에 수출품의 단가와 수량을 실제보다 과도하게 조작하고, 3)수익인식조건(ex 검수조건부, FOB 등)이 충족되지 아니하였음에도 매출을 조기에 인식하는 방법으로 매출을 과대계상하였다. 경영진을 비롯한 영업팀, 회계팀이 매출 조작방식을 협의하고 서류를 조작하여 영업실적을 부풀렸다."""
FSS2505-02,HIGH,L3-02+L3-11+L4-01+L4-03,L4-03,fictitious,"""사업부문은 허위로 매출 관련 증빙을 작성하고 경영지원팀은 이러한 증빙이 가공의 서류라는 점을 인지하면서도 세금계산서를 발행하는 방식으로 허위 매출을 인식하였다. 또한 외부감사인 재고실사시 조직적으로 허위 데모장비 매출 관련 재고자산을 은폐하였다."""
FSS2505-06-가,HIGH,L2-03+L2-05+L3-04+L4-04,L4-04,(NONE=sole),"""회사는 x8년 중 사채업자로부터 자금을 빌려 유상증자 대금을 납입하고 바로 상환(가장납입)한 후 이를 은폐하기 위해 기말에 미수금으로 계상하였고, x9년 초에 다시 사채업자로부터 자금을 빌려 미수금이 상환된 것처럼 회계처리하였다. 같은 날 동 자금을 신규투자 에스크로 계약금 명목으로 법무법인 B에 예치한다고 인출하여 사채업자에게 상환 후 선급금으로 허위계"
FSS2512-01,HIGH,L3-02+L3-03+L3-04+L4-03+L4-04,L4-03+L4-04,fictitious,"""회사는 상품의 인도 없이 자금의 유출입만 발생하여 거래의 실질이 자금대여거래에 해당함에도, 거래당사자 간 세금계산서 발행으로 외관을 형성하고 허위매출 및 매출원가를 인식하였다. 또한, 기말시점에 가공의 재고자산 계상 사실을 은폐하고자 외부감사인의 재고실사 일정에 맞추어 매입처로부터 임시로 재고자산을 대여받아 창고에 보관하다가 실사 후 매입처로 반환하는 등"
FSS2512-06,HIGH,L3-02+L3-04+L4-01+L4-04,L4-04,fictitious,"""이미 판매완료된 제품의 생산과정에 투입된 원부자재를 매출원가로 인식하는 대신 가공의 재고자산으로 허위 계상하는 방식으로 당기순이익 및 자기자본을 과대(과소)계상하였다. 또한 … 원재료 보관처(하청 제조업체)에 허위의 회신을 요구하는 등 외부감사를 방해하였다."""
